neuterYn,sexCd,weight,noticeDays,age2,processState
U,F,20,10,5,0
N,M,3.5,10,5,1
U,F,8.5,10,5,1
N,M,15.2,10,3,0
N,F,2,10,1,1
N,M,1,11,0,0
N,M,7,11,1,0
U,M,7,12,1,1
U,M,5,10,4,1
N,F,10,10,8,0
N,M,2,10,1,0
U,F,6,11,3,1
N,M,19.3,7,1,0
N,M,2,12,1,1
U,F,4,12,5,1
N,F,9.6,10,1,0
N,M,23,10,1,1
N,F,4.9,10,1,0
U,M,15.8,10,3,0
N,F,0.5,10,1,0
N,F,0.5,10,1,0
U,F,13.7,10,3,0
N,F,14,10,2,0
N,F,2.7,10,1,0
N,F,3.2,10,1,0
N,F,18,10,3,0
N,F,6.2,10,1,0
N,F,6.1,10,1,0
N,F,7.5,10,1,0
N,F,6.7,10,1,1
N,F,6.8,10,1,1
N,F,3.8,10,3,0
U,M,3,10,1,1
U,M,3,10,1,1
U,M,20,10,3,1
U,M,10,10,3,1
U,M,3,10,1,1
U,F,3,10,1,1
U,F,3,10,1,1
U,F,3,10,1,1
U,M,3,10,4,1
U,M,5,10,4,0
N,F,10,10,2,1
U,M,17,10,2,0
U,F,5,10,1,1
U,F,4,10,1,1
N,M,6,10,4,1
Y,M,24,10,2,0
N,M,5,10,1,0
N,F,4,10,1,0
N,M,3,10,1,0
N,F,5,10,2,1
N,M,11.5,10,4,1
N,M,3,10,1,1
N,F,5,10,1,1
N,M,1,10,1,1
N,M,1,10,1,1
U,F,3,7,1,0
U,F,3,7,1,0
U,M,3,7,1,0
U,F,3,7,1,0
U,F,6,7,3,0
N,M,25,9,2,0
N,M,4,10,11,0
N,M,1.3,10,1,1
N,M,4,9,5,0
N,M,15,10,3,0
N,M,4.62,9,1,0
N,M,4.58,9,1,0
N,F,4.58,9,1,0
U,F,4.57,9,1,0
N,F,12.66,9,3,0
N,M,4.68,9,1,0
N,M,15.82,9,2,1
N,M,5.58,9,1,0
N,M,2.5,10,1,0
U,F,7.4,10,1,0
U,F,1.8,10,1,0
N,M,9,10,2,0
N,M,28,10,5,0
N,M,14,10,3,0
U,F,6,10,6,0
N,M,11,10,2,0
N,F,4.4,10,11,1
U,F,1,10,1,1
N,F,14,10,3,0
N,M,1.5,10,1,1
N,M,1.5,10,1,1
N,F,1.5,10,1,1
N,M,5.5,10,2,1
U,F,16,10,5,0
N,M,10,10,6,0
N,M,4,10,5,1
N,F,6.5,10,1,1
N,M,1.6,10,1,1
U,F,2,10,1,0
U,F,7.6,10,2,0
U,F,1.3,10,11,1
N,M,4.9,10,1,1
N,M,9.4,10,3,0
N,M,3,10,2,1
N,M,2.7,10,2,1
N,M,2.8,10,11,0
N,M,11,10,2,0
U,M,7,10,5,0
U,M,20,10,5,0
U,M,5,10,3,1
U,F,5,10,2,1
U,F,2.8,10,2,1
Y,M,5,10,5,1
N,F,4.3,10,1,1
N,M,10,7,2,1
N,M,5,7,2,1
N,M,10,10,3,0
N,M,6,10,1,0
N,M,8,10,1,0
N,F,4,10,4,0
N,F,2.7,10,1,1
N,F,8,10,1,1
U,F,6,10,3,1
N,F,4,10,6,1
N,F,6,10,1,0
U,M,3,10,2,1
U,F,5,10,2,0
U,F,4,10,1,0
U,M,5,10,3,0
N,F,7,10,4,0
N,F,4,10,13,0
N,F,8,10,2,1
N,M,5,10,11,1
N,M,3.4,10,1,1
U,M,0.8,10,1,0
